Group,Category,Code,Long Desc,Short Desc
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4384,"Ostomy faceplate equivalent, silicone ring, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4385,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, without built-in convexity, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4387,"Ostomy pouch, closed, with barrier attached, with built-in convexity (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4388,"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4389,"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4390,"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4391,"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4392,"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4393,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4394,"Ostomy deodorant, with or without lubricant, for use in ostomy pouch, per fluid ounce",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4395,"Ostomy deodorant for use in ostomy pouch, solid, per tablet",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4396,Ostomy belt with peristomal hernia support,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4397,"Irrigation supply; sleeve, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4398,"Ostomy irrigation supply; bag, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4399,"Ostomy irrigation supply; cone/catheter, with or without brush",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4400,Ostomy irrigation set,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4402,"Lubricant, per ounce",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4404,"Ostomy ring, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4405,"Ostomy skin barrier, non-pectin based, paste, per ounce",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4406,"Ostomy skin barrier, pectin-based, paste, per ounce",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4407,"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4408,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4409,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4410,"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4411,"Ostomy skin barrier, solid 4 x 4 or equivalent, extended wear, with built-in convexity, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4412,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4413,"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4414,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4415,"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4 x 4 inches, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4416,"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4417,"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4418,"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4419,"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4420,"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4421,Ostomy supply; miscellaneous,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4422,"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4423,"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4424,"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4425,"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4426,"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4427,"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4428,"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4429,"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4430,"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4431,"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4432,"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4433,"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4434,"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4435,"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4436,"Irrigation supply; sleeve, reusable, per month",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4437,"Irrigation supply; sleeve, disposable, per month",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4450,"Tape, non-waterproof, per 18 square inches",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4452,"Tape, waterproof, per 18 square inches",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4453,"Rectal catheter for use with the manual pump-operated enema system, replacement only",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4455,"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4456,"Adhesive remover, wipes, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4458,"Enema bag with tubing, reusable",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4459,"Manual pump-operated enema system, includes balloon, catheter and all accessories, reusable, any type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4461,"Surgical dressing holder, non-reusable, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4463,"Surgical dressing holder, reusable, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4465,Non-elastic binder for extremity,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4466,"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4467,"Belt, strap, sleeve, garment, or covering, any type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4470,Gravlee jet washer,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4480,Vabra aspirator,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4481,"Tracheostoma filter, any type, any size, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4483,"Moisture exchanger, disposable, for use with invasive mechanical ventilation",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4490,"Surgical stockings above knee length, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4495,"Surgical stockings thigh length, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4500,"Surgical stockings below knee length, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4510,"Surgical stockings full length, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4520,"Incontinence garment, any type, (e.g., brief, diaper), each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4550,Surgical trays,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4553,"Non-disposable underpads, all sizes",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4554,"Disposable underpads, all sizes",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4555,"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4556,"Electrodes, (e.g., apnea monitor), per pair",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4557,"Lead wires, (e.g., apnea monitor), per pair",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4558,"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4559,"Coupling gel or paste, for use with ultrasound device, per oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4561,"Pessary, rubber, any type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4562,"Pessary, non rubber, any type",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4563,"Rectal control system for vaginal insertion, for long term use, includes pump and all supplies and accessories, any type each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4565,Slings,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4566,"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4570,Splint,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4575,"Topical hyperbaric oxygen chamber, disposable",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4580,"Cast supplies (e.g., plaster)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4590,"Special casting material (e.g., fiberglass)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4595,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4600,"Sleeve for intermittent limb compression device, replacement only, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4601,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4602,"Replacement battery for external infusion pump owned by patient, lithium, 1.5 volt, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4604,Tubing with integrated heating element for use with positive airway pressure device,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4605,"Tracheal suction catheter, closed system, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4606,"Oxygen probe for use with oximeter device, replacement",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4608,"Transtracheal oxygen catheter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4611,"Battery, heavy duty; replacement for patient owned ventilator",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4612,Battery cables; replacement for patient-owned ventilator,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4613,Battery charger; replacement for patient-owned ventilator,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4614,"Peak expiratory flow rate meter, hand held",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4615,"Cannula, nasal",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4616,"Tubing (oxygen), per foot",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4617,Mouth piece,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4618,Breathing circuits,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4619,Face tent,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4620,Variable concentration mask,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4623,"Tracheostomy, inner cannula",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4624,"Tracheal suction catheter, any type other than closed system, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4625,Tracheostomy care kit for new tracheostomy,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4626,"Tracheostomy cleaning brush, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4627,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4628,"Oropharyngeal suction catheter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4629,Tracheostomy care kit for established tracheostomy,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4630,"Replacement batteries, medically necessary, transcutaneous electrical stimulator, owned by patient",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4633,"Replacement bulb/lamp for ultraviolet light therapy system, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4634,"Replacement bulb for therapeutic light box, tabletop model",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4635,"Underarm pad, crutch, replacement, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4636,"Replacement, handgrip, cane, crutch, or walker, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4637,"Replacement, tip, cane, crutch, walker, each.",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4638,"Replacement battery for patient-owned ear pulse generator, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4639,"Replacement pad for infrared heating pad system, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4640,Replacement pad for use with medically necessary alternating pressure pad owned by patient,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4641,"Radiopharmaceutical, diagnostic, not otherwise classified",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4642,"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4648,"Tissue marker, implantable, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4649,Surgical supply; miscellaneous,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4650,"Implantable radiation dosimeter, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4651,"Calibrated microcapillary tube, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4652,Microcapillary tube sealant,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4653,"Peritoneal dialysis catheter anchoring device, belt, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4657,"Syringe, with or without needle, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4660,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4663,Blood pressure cuff only,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4670,Automatic blood pressure monitor,Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4671,"Disposable cycler set used with cycler dialysis machine, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4672,"Drainage extension line, sterile, for dialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4673,"Extension line with easy lock connectors, used with dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4680,"Activated carbon filter for hemodialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4690,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4706,"Bicarbonate concentrate, solution, for hemodialysis, per gallon",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4707,"Bicarbonate concentrate, powder, for hemodialysis, per packet",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4708,"Acetate concentrate solution, for hemodialysis, per gallon",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4709,"Acid concentrate, solution, for hemodialysis, per gallon",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4714,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4719,"""y set"" tubing for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4720,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4721,"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4723,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4724,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4725,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4726,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4728,"Dialysate solution, non-dextrose containing, 500 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4730,"Fistula cannulation set for hemodialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4736,"Topical anesthetic, for dialysis, per gram",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4737,"Injectable anesthetic, for dialysis, per 10 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4740,"Shunt accessory, for hemodialysis, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4750,"Blood tubing, arterial or venous, for hemodialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4755,"Blood tubing, arterial and venous combined, for hemodialysis, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4760,"Dialysate solution test kit, for peritoneal dialysis, any type, each",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4765,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4766,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4770,"Blood collection tube, vacuum, for dialysis, per 50",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4771,"Serum clotting time tube, for dialysis, per 50",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4772,"Blood glucose test strips, for dialysis, per 50",Transport parking fees/tolls
HCPS 'A' Codes,"Transportation Services Including Ambulance, Medical & Surgical Supplies",A4773,"Occult blood test strips, for dialysis, per 50",Transport parking fees/tolls
